"Genes"	"G3M19LEG"	"G3M5CM"	"G3M5LEG"	"RMS1"	"RMS3"	"RMS_3"	"T_LEFT"	"T_LEG"
"145"	"ENSG00000173250"	0.152763	0.0789235	0.0613377	0	0.0582264	0	0.0658997	0
"146"	"ENSG00000146453"	0.390978	0.188697	0.914385	1.33744	1.80426	0.176378	0.316668	1.05968
"147"	"ENSG00000090581"	12.93254	10.5879355	17.230205	16.07392	16.84385	2.02889	9.365885	6.87238
"148"	"ENSG00000164284"	12.5401	4.85406	6.39101	8.90601	8.25238	0.985029	4.8383	3.2553
"149"	"ENSG00000164334"	0	0	0	0	0	0	0	0
"150"	"ENSG00000206422"	0	35.8585	0.602869	0	0	0.407558	83.8447	1.12708
"151"	"ENSG00000065485"	49.3128	3.46428	37.761	26.6387	31.7091	1.69456	1.96507	4.97739
"152"	"ENSG00000168916"	10.1506	0.885976	4.1492	3.0301	3.84689	0.123507	0.84198	0.687877
"153"	"ENSG00000067066"	1.5158732	1.12751153333333	1.95470346666667	0.0343674666666667	0.0462994266666667	0.0287485666666667	1.121348	0.395703993333333
"154"	"ENSG00000183023"	1.65546666666667	0.302667666666667	0.475386666666667	0.0370490327333333	0.1016283585	0.0206587296666667	0.315571172147667	0.176283
"155"	"ENSG00000162039"	0.844199	0.0771222	0.577025	0.398524	0.495722	0	0.218515	0.410602
"156"	"ENSG00000244486"	55.5056	5.27984	87.9171	155.039	143.456	24.2324	4.47567	18.8752
"157"	"ENSG00000099904"	9.72148	5.13213	11.3377	8.45211	10.6818	2.43399	2.86629	2.30749
"158"	"ENSG00000121552"	0.4004666875	0.0013844875	0.0351051	0.0215269375	0.0009886	0	0	1.3764161875
"159"	"ENSG00000118276"	11.9936	0.367031	6.94549	2.76901	3.52921	2.15431	0.342137	8.22957
"160"	"ENSG00000113068"	143.19	83.8719	144.036	165.021	150.966	17.8737	104.303	27.5089
"161"	"ENSG00000198108"	0.668289	0.215432	0.561028	0	0.0561705	0	0.0936679	0.806624
"162"	"ENSG00000146425"	49.8852428571429	8.54737285714286	40.02802	45.8000971428571	62.4320172857143	2.95816714285714	8.63339757142857	8.96179271428571
"163"	"ENSG00000167965"	4.99015	4.351835	5.08813	3.95199	4.64158	0.537295	3.177666715	0.779828
"164"	"ENSG00000166342"	0	0.015455	0	0	0	0.0121426	0	0.158441
"165"	"ENSG00000176014"	352.149	21.778	289.786	169.502	219.865	21.2549	12.9444	35.6222
"166"	"ENSG00000144792"	0	0	0	0	0.265207	0	0	0
"167"	"ENSG00000176225"	3.81072	0.412247	1.51711	1.1273	1.25671	0.219909	0.253127	0.311223
"168"	"ENSG00000113716"	10.2602	4.40017	3.98401	9.44188	9.0523	1.86697	2.45014	1.0151
"169"	"ENSG00000145817"	52.9488	9.33072	29.8845	13.7563	20.365	1.31389	7.71136	5.74926
"170"	"ENSG00000179284"	3.99828	10.4355	6.00306	7.71974	7.68802	1.20214	7.07649	2.86976
"171"	"ENSG00000080819"	9.00663	9.4606	6.03731	8.54168	4.78211	1.76329	8.2231	4.34807
"172"	"ENSG00000184436"	24.5929	16.5502	32.0515	33.4503	35.9248	4.49447	9.72461	11.1054
"173"	"ENSG00000125651"	81.7926	20.8286	75.9042	188.933	140.801	157.001	16.6977	314.862
"174"	"ENSG00000073803"	0.39604	0.213108	0.0704854	0.110322	0.128189	0.0322002	0.138256	0.12502
"175"	"ENSG00000096401"	3.55655555555556	1.335431	1.91774444444444	1.21342222222222	1.58106666666667	0.148292000348889	1.10928777777778	0.383069733333333
"176"	"ENSG00000129595"	0.481314	1.33909	0.486382	2.91623	2.93785	0.863076	0.855539	0.47774
"177"	"ENSG00000164219"	11.6429	2.47903	4.1142	2.81388	2.60449	0.420493	1.23537	1.15001
"178"	"ENSG00000120318"	11.6425	12.3285	8.05753	2.38862	2.22582	0.198402	6.54652	1.69466
"179"	"ENSG00000127743"	0	0.122765	0.0988425	0	0.0930431	0	0	1.37716
"180"	"ENSG00000205108"	0.004302575	0.1183400875	0.098036325	0	0.0046700125	0	0.0360724	0.04588805
"181"	"ENSG00000141391"	2.03326	0.221703	1.45795	1.85906	2.80182	0.200773	0.257126	0.548411
"182"	"ENSG00000176136"	0.159289	1.83964	0.145274	0	0.0460885	0	4.31165	0.0767327
"183"	"ENSG00000078795"	4.323245	1.5060305	4.05791	3.53591	3.248455	0.15651045	1.246427	1.4002275
"184"	"ENSG00000197683"	0	0	0	0	0	0	0	0
"185"	"ENSG00000176194"	0	1.07774	0.135934	0.0530842	0.043279	0	6.74164	0.21704
"186"	"ENSG00000178184"	5.30296	0.325204	4.53618	1.33463	2.54108	0.164125	0.349649	0.819132
"187"	"ENSG00000134030"	7.40744	2.20287	4.17057	1.91575	2.82453	0.433311	1.466	0.932214
"188"	"ENSG00000079263"	0.60358945	0.068198145	1.7155568	0	0.0009076	0.02870477	0.03687528	1.4867983
"189"	"ENSG00000163872"	5.590135	1.2034225	3.302685	6.4162155	5.49794	1.3727995	0.765534	0.975565
"190"	"ENSG00000169087"	2.20271	0.935997	2.2706	3.73997	2.66779	0.748437	0.703903	1.51005
"191"	"ENSG00000165886"	81.0341	19.0829	126.498	45.9247	66.3989	7.7097	9.94994	13.8397
"192"	"ENSG00000196365"	60.8986	47.3764	35.1816	232.321	97.6342	17.4259	30.1276	23.697
"193"	"ENSG00000160190"	0.244588	0.1066235	0.6240805	0.02236155	0	0.0077351	0.0744415	0.231517
"194"	"ENSG00000138078"	10.18705	3.20639	5.125065	9.98923	10.58655	0.853352	1.776435	1.080528
"195"	"ENSG00000175463"	1.46069	1.30214	6.05862	0.272063	0.223908	0.0406587	1.20624	0.134881
"196"	"ENSG00000138061"	0.195833	0.192648	0.224876	1.48856	3.69659	0.222759	0.321658	0.448098
"197"	"ENSG00000114021"	26.2517	22.0135	27.5169	34.4626	30.4586	3.84641	22.2365	8.66401
"198"	"ENSG00000148842"	1.1180905	0.6083424	0.88577	1.059807	1.533423	0.196408	0.252630297	0.884937
