#1.2									
									
Genes	Genes	D5	D0	D5	D5	D5	D5	D0	D5
ENSMUST00000004745.8	ENSMUST00000004745.8	9.09369	0.983054	7.68212	0.634093	0.804944	0.220025	0.150546	0.221354
ENSMUST00000161629.7	ENSMUST00000161629.7	3.50241	0.53595	5.65361	1.01583	0.532788	0.889782	0.764959	3.08748
ENSMUST00000122232.7	ENSMUST00000122232.7	14.4313	4.17035	2.97571	1.75571	2.90302	0.874738	2.35822	0.723964
ENSMUST00000107362.9	ENSMUST00000107362.9	26.3609	8.08039	26.8194	18.6519	23.1918	2.75821	6.76812	4.6321
ENSMUST00000166367.7	ENSMUST00000166367.7	7.26752	9.63076	3.02834	1.55291	3.03986	0.76639	10.1643	0.730493
ENSMUST00000209895.1	ENSMUST00000209895.1	2.3162	0.454196	0.308043	0.845705	0.360686	0.457278	0.446557	3.61163
ENSMUST00000210317.1	ENSMUST00000210317.1	1.66191	0.480567	1.38719	2.26204	2.75849	0.241791	0.385856	1.89786
ENSMUST00000209465.1	ENSMUST00000209465.1	1.31019	1.47866	1.43556	2.17957	3.07341	1.02008	4.18619	2.88446
ENSMUST00000061850.4	ENSMUST00000061850.4	9.4578	2.47104	6.33484	5.54121	6.8138	1.09824	2.42649	2.62124
ENSMUST00000162554.7	ENSMUST00000162554.7	2.80907	0.371378	1.23373	1.66314	2.43352	0.210855	0.275684	0.426805
ENSMUST00000022680.8	ENSMUST00000022680.8	27.2451	3.68713	22.9221	11.7018	14.4611	0.787181	3.37928	2.97055
ENSMUST00000068519.6	ENSMUST00000068519.6	32.2737	11.4272	15.7239	9.16701	10.0504	0.929104	10.4453	3.22915
ENSMUST00000046929.6	ENSMUST00000046929.6	4.57602	1.38712	2.03039	1.27128	1.3711	0.475152	1.03432	0.983747
ENSMUST00000001712.7	ENSMUST00000001712.7	7.76545	3.05256	7.27195	11.2945	7.99848	2.47703	1.75706	2.43852
ENSMUST00000100809.10	ENSMUST00000100809.10	33.7578	36.9437	247.075	1.859	5.86456	2.36429	73.6336	11.5981
ENSMUST00000031978.8	ENSMUST00000031978.8	64.7026	36.7335	67.2664	48.6397	57.1491	3.90047	36.8636	16.0762
ENSMUST00000050556.10	ENSMUST00000050556.10	4.36492	0.244273	1.54263	1.2661	1.62884	0.352824	0.227149	0.328018
ENSMUST00000202908.1	ENSMUST00000202908.1	4.30549	1.59513	1.3203	1.67877	2.05235	0.124208	1.48345	0.294373
ENSMUST00000029938.9	ENSMUST00000029938.9	67.9343	14.6708	37.6972	46.5469	53.1591	2.5593	12.6105	10.1687
ENSMUST00000162973.7	ENSMUST00000162973.7	1.59833	0.0881595	6.86093	8.71057	9.77542	2.41896	0.760593	3.11882
ENSMUST00000006912.11	ENSMUST00000006912.11	23.2958	1.70078	20.7911	4.50312	6.01053	1.07694	1.72615	3.70276
ENSMUST00000229282.1	ENSMUST00000229282.1	2.46006	2.41266	2.52536	1.34804	1.64971	0.305776	2.84146	3.50276
ENSMUST00000144843.7	ENSMUST00000144843.7	7.11247	3.50382	2.91614	1.15458	1.64771	0.194748	2.61241	1.76E-07
ENSMUST00000056398.10	ENSMUST00000056398.10	147.109	23.5834	107.904	116.58	111.144	8.29329	21.3323	32.3462
ENSMUST00000030586.14	ENSMUST00000030586.14	3.58614	12.795	6.82028	2.9744	3.37195	0.690483	17.9575	7.98853
ENSMUST00000141361.7	ENSMUST00000141361.7	1.56224	6.04556	2.50265	1.51042	0.940191	7.14863	6.29545	81.0923
ENSMUST00000005954.8	ENSMUST00000005954.8	2.18312	1.22444	2.21429	1.49586	1.91907	0.13467	0.671854	0.255884
ENSMUST00000148460.7	ENSMUST00000148460.7	12.1073	6.21994	8.84373	12.6552	15.3238	1.36706	5.74478	1.46679
ENSMUST00000102927.9	ENSMUST00000102927.9	11.0409	3.60517	4.10629	1.7209	3.01251	0.327736	3.38124	1.51337
ENSMUST00000150578.1	ENSMUST00000150578.1	0.274624	0.0723271	0.0146017	0.0753713	0.131165	1.47846	0.0413395	5.52408
ENSMUST00000034973.9	ENSMUST00000034973.9	24.7021	22.5475	22.3786	16.9909	20.4383	3.24034	11.1682	5.93607
ENSMUST00000028117.3	ENSMUST00000028117.3	41.5497	12.6539	18.9498	13.9858	17.9531	1.6565	12.3422	7.04677
ENSMUST00000074259.14	ENSMUST00000074259.14	14.2887	2.46672	15.9788	13.273	16.8785	0.791791	1.60627	6.36977
ENSMUST00000016138.10	ENSMUST00000016138.10	57.4141	40.1458	38.5086	16.7539	23.9526	2.71306	36.7871	10.4994
ENSMUST00000166610.7	ENSMUST00000166610.7	32.1083	6.85066	17.5066	15.4511	23.3577	2.70157	5.06161	6.07581
ENSMUST00000106007.9	ENSMUST00000106007.9	4.59269	4.80757	7.29272	3.55512	4.23915	2.59481	2.7146	0.978022
ENSMUST00000226208.1	ENSMUST00000226208.1	37.7662	28.9595	33.6947	40.7271	35.1655	3.54046	16.742	4.75241
ENSMUST00000037218.1	ENSMUST00000037218.1	13.7795	0.56266	8.95736	2.40357	2.41527	0.419849	0.146173	3.02803
ENSMUST00000168699.1	ENSMUST00000168699.1	3.94914	0.0830475	0.394971	0.221046	0.258333	0.0383002	0.152615	0.695632
ENSMUST00000156859.2	ENSMUST00000156859.2	19.762	41.9414	13.8815	8.20017	13.2526	1.50091	28.8441	2.58502
ENSMUST00000026843.11	ENSMUST00000026843.11	39.437	44.0935	14.2237	5.22422	11.3299	2.50128	31.5763	2.78438
ENSMUST00000166617.7	ENSMUST00000166617.7	1.61759	0.157036	1.93991	7.05713	7.27034	6.38482	0.170106	1.29542
ENSMUST00000166139.6	ENSMUST00000166139.6	6.75589	0.320789	3.11311	4.74263	5.8276	1.76651	0.0706735	0.539297
ENSMUST00000109895.1	ENSMUST00000109895.1	14.4327	3.29587	17.8091	15.0561	19.0947	2.71822	0.743983	5.76247
ENSMUST00000151936.1	ENSMUST00000151936.1	20.6324	3.2604	7.13239	2.94044	4.61279	1.00796	0.859288	1.54883
ENSMUST00000137090.7	ENSMUST00000137090.7	0.687333	1.77623	0.670262	0.634123	1.22443	0.621682	0.923822	4.24112
ENSMUST00000102591.9	ENSMUST00000102591.9	43.7319	21.1017	50.8495	62.9445	54.9904	15.6701	20.4757	41.9423
ENSMUST00000076316.5	ENSMUST00000076316.5	29.9764	15.0163	32.8688	27.8676	35.0953	6.12914	13.364	12.5626
ENSMUST00000044672.10	ENSMUST00000044672.10	7.91758	1.16216	2.8307	1.12723	0.787142	0.151338	1.63553	1.27991
ENSMUST00000215000.1	ENSMUST00000215000.1	0.290648	1.44028	1.98347	1.85602	3.58447	0.345478	0.908455	0.485622
ENSMUST00000132846.1	ENSMUST00000132846.1	1089.74	72.2013	693.573	473.687	723.52	32.5345	50.1613	59.2548
ENSMUST00000090749.12	ENSMUST00000090749.12	885.738	163.632	1549.54	1385.63	1474.84	151.792	124.249	451.956
ENSMUST00000155824.1	ENSMUST00000155824.1	7.90962	1.646	5.14713	2.80884	3.3916	0.207406	1.4063	0.814442
ENSMUST00000102564.10	ENSMUST00000102564.10	44.2344	2.84251	84.349	9.2087	7.76972	2.41084	2.94959	33.2246
ENSMUST00000230994.1	ENSMUST00000230994.1	4.14587	0.737795	3.59732	5.55155	6.25552	2.41705	1.10839	1.67167
ENSMUST00000100483.2	ENSMUST00000100483.2	14.8691	178.296	17.9871	22.951	21.9726	2.43694	130.07	8.08016
