"Genes"	"G3M19LEG"	"G3M5CM"	"G3M5LEG"	"RMS1"	"RMS3"	"RMS_3"	"T_LEFT"	"T_LEG"	"expression_1.x"	"expression_2.x"	"expression_3.x"	"expression_1.y"	"expression_2.y"	"expression_3.y"
"56"	"ENSMUSG00000000441"	3.30552154545455	4.15364816363636	2.767474	2.34870852727273	2.68269130909091	0.993033454545455	3.20897463636364	1.11802427272727	7.42360333333333	7.41966	7.43830666666667	7.42360333333333	7.41966	7.43830666666667
"57"	"ENSMUSG00000000486"	2.2144762	0.4434738	4.465246	2.4148889	1.7915555	0.7940596	0.33616318	3.5422785	4.92404	4.54479	4.6127	4.92404	4.54479	4.6127
"58"	"ENSMUSG00000000489"	5.2281825	8.5041125	4.18714575	0.0082263	0.01148305	0.0242503	2.7471105	1.238506	5.84133	5.60038	5.55293	5.84133	5.60038	5.55293
"59"	"ENSMUSG00000000530"	1.26740972727273	1.79314090909091	2.49427209090909	0.0697035456490909	0.0765073636363636	0.018693181873	1.03223081818182	0.129587727272727	6.83518	6.631185	6.52388	6.83518	6.631185	6.52388
"60"	"ENSMUSG00000000531"	40.44	10.025	19.9511	53.3085	64.6045	6.01113	4.32776	14.3501	8.13649	8.05376	8.08073	8.13649	8.05376	8.08073
"61"	"ENSMUSG00000000532"	13.7597	18.7902	6.60648	10.2573	11.728	3.64264	7.88246	2.77215	6.399255	6.107865	6.287735	6.399255	6.107865	6.287735
"62"	"ENSMUSG00000000538"	2.01701536363636	3.75085257272727	1.28621070545455	1.23846101818182	1.29850236924864	0.165707045454545	2.19140502001145	0.259076018181818	5.78823	5.88662	5.8213525	5.78823	5.88662	5.8213525
"63"	"ENSMUSG00000000552"	6.81685333333333	2.38436333333333	9.78235666666667	9.16913333438	10.7098333341567	1.77890066921667	1.37834	2.85656333333333	5.51638	5.21702	4.81106	5.51638	5.21702	4.81106
"64"	"ENSMUSG00000000555"	36.24134275	2.26567	14.3137475	20.8540075	23.83244625	5.1263000014725	1.134642	8.364949	5.5357	5.7535375	5.28816	5.5357	5.7535375	5.28816
"65"	"ENSMUSG00000000560"	0.0302683	0.0216722833333333	0.0197843333333333	0.0438349333333333	0.031047	0.25224575	0.00547751333333333	1.369338	2.92234	2.97384	2.990114	2.92234	2.97384	2.990114
"66"	"ENSMUSG00000000561"	9.224514	4.249144	4.3321912	5.928618	6.0074338	1.0280306	2.3614754	0.984184	6.04888666666667	6.02665	5.93426	6.04888666666667	6.02665	5.93426
